,season,game_id,team_alias,team_game_score,w/l_ratio
382,2013,191,ORE,63.0,L
383,2013,191,UCLA,82.0,W
384,2013,192,GTWN,70.0,W
385,2013,192,LIP,49.0,L
386,2013,193,MASS,65.0,L
387,2013,193,SBON,78.0,W
388,2013,194,UK,89.0,W
389,2013,194,UNCA,57.0,L
390,2013,195,ORE,85.0,W
391,2013,195,PAC,62.0,L
392,2013,196,MCNS,59.0,L
393,2013,196,SMU,88.0,W
394,2013,197,MEM,96.0,W
395,2013,197,NWST,76.0,L
396,2013,198,IND,72.0,W
397,2013,198,OSU,64.0,L
398,2013,199,CLMB,59.0,L
399,2013,199,SJU,65.0,W
400,2013,200,LSU,90.0,L
401,2013,200,MASS,92.0,W
402,2013,201,LSU,71.0,W
403,2013,201,SF,63.0,L
404,2013,202,CREI,63.0,L
405,2013,202,GTWN,75.0,W
406,2013,203,CLEM,53.0,W
407,2013,203,FSU,49.0,L
408,2013,204,LOU,86.0,W
409,2013,204,USF,47.0,L
410,2013,205,HBU,53.0,L
411,2013,205,MICH,107.0,W
412,2013,206,NCST,74.0,W
413,2013,206,XAV,59.0,L
414,2013,207,HAMP,65.0,L
415,2013,207,PSU,69.0,W
416,2013,208,LSU,50.0,L
417,2013,208,TENN,68.0,W
418,2013,209,ASU,97.0,W
419,2013,209,GRAM,55.0,L
420,2013,210,NCST,69.0,L
421,2013,210,WAKE,70.0,W
422,2013,211,GONZ,54.0,L
423,2013,211,MEM,60.0,W
424,2013,212,IND,47.0,L
425,2013,212,NW,54.0,W
426,2013,213,GTWN,90.0,W
427,2013,213,KSU,63.0,L
428,2013,214,MIA,58.0,L
429,2013,214,UCF,63.0,W
430,2013,215,LSU,87.0,W
431,2013,215,UK,82.0,L
432,2013,216,KSU,78.0,W
433,2013,216,WVU,56.0,L
434,2013,217,SDSU,73.0,W
435,2013,217,UNLV,64.0,L
436,2013,218,COPP,51.0,L
437,2013,218,GONZ,86.0,W
438,2013,219,HALL,76.0,L
439,2013,219,SJU,77.0,W
440,2013,220,AUB,59.0,L
441,2013,220,VAN,67.0,W
442,2013,221,AUB,78.0,W
443,2013,221,TNST,73.0,L
444,2013,222,LSU,74.0,L
445,2013,222,MISS,88.0,W
446,2013,223,NORF,56.0,L
447,2013,223,UVA,66.0,W
448,2013,224,BC,59.0,L
449,2013,224,SYR,69.0,W
450,2013,225,ARPB,55.0,L
451,2013,225,TXAM,88.0,W
452,2013,226,JMU,41.0,L
453,2013,226,UVA,61.0,W
454,2013,227,OSU,99.0,W
455,2013,227,UNF,64.0,L
456,2013,228,DUKE,95.0,W
457,2013,228,NCST,60.0,L
458,2013,229,CONN,65.0,L
459,2013,229,SMU,74.0,W
460,2013,230,CONN,69.0,W
461,2013,230,RUTG,63.0,L
462,2013,231,ARIZ,88.0,W
463,2013,231,COLO,61.0,L
464,2013,232,FAMU,65.0,L
465,2013,232,MSST,78.0,W
466,2013,233,ORST,71.0,W
467,2013,233,UCLA,67.0,L
468,2013,234,ILST,47.0,L
469,2013,234,WICH,66.0,W
470,2013,235,CAL,73.0,W
471,2013,235,UCI,56.0,L
472,2013,236,LSU,71.0,W
473,2013,236,SCAR,68.0,L
474,2013,237,ASU,72.0,W
