,season,team_alias,game_id,team_game_score,assists/score,differencestrash,w/l_ratio,star_power,differences,win_count,game_count
382,2014,CCAR,5054.333333333333,70.53333333333333,0.15816011999317026,4.166666666666667,0.6666666666666666,1.7823333333333333,-4.115384615384615,20,30.0
383,2014,CCSU,4981.387096774193,59.16129032258065,0.1855540297444518,-4.903225806451613,0.16129032258064516,2.441290322580645,10.821428571428571,5,31.0
384,2014,CHAR,4552.90625,73.8125,0.1847147843737356,5.28125,0.4375,1.7187500000000002,-1.1290322580645162,14,32.0
385,2014,CHAT,5113.066666666667,70.36666666666666,0.16447882372668776,0.4,0.6666666666666666,1.8376666666666668,-3.0,20,30.0
386,2014,CHS,5311.103448275862,55.241379310344826,0.16014900562983006,-12.206896551724139,0.1724137931034483,2.2179310344827585,11.0,5,29.0
387,2014,CHSO,4573.428571428572,71.39285714285714,0.17227657004865288,4.321428571428571,0.5714285714285714,2.355357142857143,1.1304347826086956,16,28.0
388,2014,CIN,5011.705882352941,62.14705882352941,0.18539458414322396,-4.852941176470588,0.6764705882352942,1.7149999999999999,-6.323529411764706,23,34.0
389,2014,CIT,5581.592592592592,62.333333333333336,0.1995320291447512,-0.4074074074074074,0.2962962962962963,2.3107407407407403,7.708333333333333,8,27.0
390,2014,CLEM,4944.8387096774195,62.70967741935484,0.16768469701233057,-4.193548387096774,0.5161290322580645,1.7974193548387096,0.42857142857142855,16,31.0
391,2014,CLEV,4416.90625,66.34375,0.2023922537928133,1.15625,0.53125,2.2940625,-4.225806451612903,17,32.0
392,2014,CLMB,4641.555555555556,63.111111111111114,0.18441368552522108,0.48148148148148145,0.4444444444444444,2.471481481481481,1.7391304347826086,12,27.0
393,2014,CMU,4621.379310344828,75.03448275862068,0.1745204419210132,5.379310344827586,0.6896551724137931,2.0348275862068963,-8.4,20,29.0
394,2014,COFC,4856.0,58.60606060606061,0.16581145859966037,-8.212121212121213,0.2727272727272727,1.8512121212121209,6.9,9,33.0
395,2014,COLG,5229.40625,65.28125,0.20305279130627066,0.78125,0.46875,1.9899999999999998,1.9444444444444444,15,32.0
396,2014,COLO,4595.676470588235,68.97058823529412,0.16712097449030464,-1.3235294117647058,0.47058823529411764,2.1864705882352946,-1.1481481481481481,16,34.0
397,2014,CONN,4817.457142857143,64.08571428571429,0.18493824872488013,-5.142857142857143,0.5714285714285714,2.325714285714286,-3.074074074074074,20,35.0
398,2014,COOK,4826.033333333334,57.03333333333333,0.1381551843629927,-3.1333333333333333,0.3,2.311666666666666,5.384615384615385,9,30.0
399,2014,COPP,4848.066666666667,70.53333333333333,0.17718198482786532,0.0,0.23333333333333334,1.7729999999999995,13.576923076923077,7,30.0
400,2014,COR,5268.931034482759,60.724137931034484,0.16352975651248128,2.103448275862069,0.41379310344827586,2.351034482758621,3.3333333333333335,12,29.0
401,2014,CP,4976.555555555556,59.81481481481482,0.1627020615575639,-6.518518518518518,0.4074074074074074,2.051851851851852,0.2692307692307692,11,27.0
402,2014,CREI,5107.0,67.3030303030303,0.2033643868608435,0.21212121212121213,0.42424242424242425,1.8412121212121209,0.896551724137931,14,33.0
403,2014,CSB,5002.566666666667,61.3,0.2022489133592297,-4.333333333333333,0.36666666666666664,1.9106666666666667,1.6538461538461537,11,30.0
404,2014,CSF,4699.6551724137935,63.51724137931034,0.15636461072303953,-2.9310344827586206,0.2413793103448276,2.3544827586206893,7.730769230769231,7,29.0
405,2014,CSN,4563.4838709677415,64.16129032258064,0.2087495281259268,-4.709677419354839,0.22580645161290322,2.073870967741936,7.44,7,31.0
406,2014,CSU,4766.484848484848,71.6969696969697,0.19894045546902936,2.484848484848485,0.7878787878787878,1.9642424242424241,-7.481481481481482,26,33.0
407,2014,DART,5208.3448275862065,63.275862068965516,0.19403425609712993,-6.896551724137931,0.4827586206896552,1.866896551724138,1.2380952380952381,14,29.0
408,2014,DAV,4569.870967741936,78.29032258064517,0.21642235135015497,13.870967741935484,0.7419354838709677,1.9106451612903228,-7.821428571428571,23,31.0
409,2014,DAY,5469.027777777777,67.75,0.19911135218303805,4.777777777777778,0.75,1.8602777777777777,-8.357142857142858,27,36.0
410,2014,DEL,4878.6,65.96666666666667,0.18980431405100545,1.3,0.3333333333333333,1.916666666666667,6.04,10,30.0
411,2014,DEN,5087.633333333333,62.166666666666664,0.24547211307562736,-5.566666666666666,0.4,2.021,2.2083333333333335,12,30.0
412,2014,DEP,4947.9375,69.375,0.17859804792301576,-1.625,0.375,1.7446875000000002,4.08,12,32.0
413,2014,DET,4814.870967741936,69.29032258064517,0.1900875471527247,2.5483870967741935,0.41935483870967744,2.1538709677419354,0.5384615384615384,13,31.0
414,2014,DREX,4633.137931034483,59.827586206896555,0.17910928861672576,-5.620689655172414,0.3793103448275862,2.706206896551724,5.428571428571429,11,29.0
415,2014,DRKE,5209.533333333334,58.666666666666664,0.19925962068859063,-7.1,0.26666666666666666,2.212666666666667,9.08,8,30.0
416,2014,DSU,4649.117647058823,68.79411764705883,0.16619887669558878,0.11764705882352941,0.47058823529411764,2.5038235294117643,3.9285714285714284,16,34.0
417,2014,DUKE,5152.641025641025,79.25641025641026,0.1872920504153145,13.025641025641026,0.8974358974358975,1.8687179487179486,-14.685714285714285,35,39.0
418,2014,DUQ,5186.233333333334,70.73333333333333,0.20798461529991136,-0.03333333333333333,0.36666666666666664,1.7689999999999997,3.2,11,30.0
419,2014,ECU,4680.290322580645,62.096774193548384,0.2099653176145825,-8.193548387096774,0.3870967741935484,2.104193548387097,3.576923076923077,12,31.0
420,2014,EIU,5401.967741935484,63.12903225806452,0.20433317526678557,-1.5161290322580645,0.5161290322580645,1.9709677419354839,2.24,16,31.0
421,2014,EKY,4975.870967741936,69.12903225806451,0.2060461255360817,2.4838709677419355,0.6129032258064516,2.2216129032258065,-5.6,19,31.0
422,2014,ELON,5207.032258064516,67.7741935483871,0.16254932992517798,-1.8064516129032258,0.41935483870967744,2.0758064516129036,3.0434782608695654,13,31.0
423,2014,EMU,4557.129032258064,68.19354838709677,0.151394394494346,0.8064516129032258,0.5483870967741935,2.1874193548387098,-4.619047619047619,17,31.0
424,2014,ETSU,4694.857142857143,71.42857142857143,0.17090751669233378,6.785714285714286,0.5,2.415,1.0434782608695652,14,28.0
425,2014,EVAN,5275.5142857142855,69.6,0.21995050649324585,1.0571428571428572,0.6571428571428571,2.340857142857143,-2.5185185185185186,23,35.0
426,2014,EWU,4820.96875,79.1875,0.1558431880886678,12.125,0.71875,2.2471875,-5.129032258064516,23,32.0
427,2014,FAIR,5406.1612903225805,59.516129032258064,0.1733352805802573,-10.290322580645162,0.22580645161290322,2.3735483870967746,4.333333333333333,7,31.0
428,2014,FAMU,5098.103448275862,55.41379310344828,0.14809395843566472,-11.931034482758621,0.06896551724137931,2.5796551724137933,17.08695652173913,2,29.0
429,2014,FAU,4943.777777777777,62.48148148148148,0.16126183865439184,-3.0,0.25925925925925924,2.011111111111111,5.913043478260869,7,27.0
430,2014,FDU,4903.892857142857,66.21428571428571,0.1628791259465003,-3.9285714285714284,0.25,1.8496428571428574,9.272727272727273,7,28.0
431,2014,FGCU,5894.166666666667,67.83333333333333,0.20182152421001168,-1.3666666666666667,0.6333333333333333,2.0373333333333337,-3.4827586206896552,19,30.0
432,2014,FIU,5052.612903225807,62.0,0.173633727930705,-2.903225806451613,0.45161290322580644,2.2793548387096774,7.32,14,31.0
433,2014,FLA,4546.060606060606,63.666666666666664,0.2041487976231627,0.12121212121212122,0.48484848484848486,1.947575757575758,-3.357142857142857,16,33.0
434,2014,FOR,5145.633333333333,64.03333333333333,0.19023374112909133,-5.933333333333334,0.3,1.9876666666666665,2.6923076923076925,9,30.0
435,2014,FRES,4982.933333333333,63.333333333333336,0.15196295071743476,-6.033333333333333,0.43333333333333335,2.2733333333333334,2.1578947368421053,13,30.0
436,2014,FSU,4755.424242424242,66.57575757575758,0.17166656488973128,-0.36363636363636365,0.48484848484848486,2.1621212121212126,1.68,16,33.0
437,2014,FUR,4978.806451612903,62.70967741935484,0.15390531207976774,-4.258064516129032,0.2903225806451613,2.2306451612903233,8.789473684210526,9,31.0
438,2014,GASO,4405.464285714285,65.67857142857143,0.1623656030119654,-1.3571428571428572,0.6785714285714286,1.9874999999999996,-1.826086956521739,19,28.0
439,2014,GAST,4664.85294117647,70.11764705882354,0.1889767253069619,8.705882352941176,0.7058823529411765,2.6105882352941174,-6.25,24,34.0
440,2014,GB,4970.129032258064,67.29032258064517,0.20539544142006275,3.935483870967742,0.7096774193548387,2.1819354838709675,-6.8,22,31.0
441,2014,GC,4985.2,67.9,0.17629792539425804,1.9,0.5,1.9879999999999998,2.3333333333333335,15,30.0
442,2014,GMU,4667.8,63.233333333333334,0.1566376968439878,-5.1,0.26666666666666666,1.8493333333333335,4.7272727272727275,8,30.0
443,2014,GONZ,4886.810810810811,77.83783783783784,0.20560809484833958,8.297297297297296,0.918918918918919,1.8381081081081074,-18.580645161290324,34,37.0
444,2014,GRAM,5044.888888888889,51.111111111111114,0.14822953621583543,-14.185185185185185,0.0,2.216296296296296,26.0,0,27.0
445,2014,GT,4648.129032258064,63.29032258064516,0.1839465092395076,-4.838709677419355,0.3870967741935484,1.9080645161290326,2.4285714285714284,12,31.0
446,2014,GTWN,4459.424242424242,70.9090909090909,0.18107978134242178,6.212121212121212,0.6666666666666666,2.060909090909091,-4.619047619047619,22,33.0
447,2014,GW,4932.057142857143,67.25714285714285,0.17088193165970816,2.4571428571428573,0.6285714285714286,1.8245714285714287,-2.6363636363636362,22,35.0
448,2014,HALL,4809.1612903225805,68.35483870967742,0.1803123520587844,-1.8064516129032258,0.5161290322580645,1.9290322580645167,-3.272727272727273,16,31.0
449,2014,HAMP,5425.942857142857,67.02857142857142,0.15700298505863317,-3.7142857142857144,0.4857142857142857,2.0888571428571434,3.3076923076923075,17,35.0
450,2014,HART,4849.482758620689,61.206896551724135,0.19314724797251834,-7.517241379310345,0.4482758620689655,1.8175862068965516,4.7272727272727275,13,29.0
451,2014,HARV,4700.357142857143,63.17857142857143,0.19267671132073874,2.8214285714285716,0.7142857142857143,2.1503571428571426,-3.5714285714285716,20,28.0
452,2014,HAW,5261.969696969697,71.75757575757575,0.182248510871222,3.878787878787879,0.6060606060606061,1.838787878787879,-0.6666666666666666,20,33.0
454,2014,HC,5165.275862068966,64.75862068965517,0.16659088601211772,-1.7586206896551724,0.4482758620689655,2.032413793103448,3.4615384615384617,13,29.0
455,2014,HOF,4527.470588235294,78.47058823529412,0.19556938442719995,8.970588235294118,0.5882352941176471,1.8726470588235293,-2.590909090909091,20,34.0
456,2014,HOU,4773.9375,64.46875,0.1841823149600689,-1.125,0.40625,2.0290624999999998,0.9090909090909091,13,32.0
457,2014,HOW,5092.413793103448,60.58620689655172,0.13364149130601877,-6.344827586206897,0.4482758620689655,2.6406896551724137,1.8888888888888888,13,29.0
458,2014,HP,4396.833333333333,70.93333333333334,0.19968741434672413,3.4,0.6666666666666666,2.3136666666666668,-2.1578947368421053,20,30.0
